Loan,Alpha_CH,Alpha_EU,Alpha_US
ABC6831,0.76,0,0
ABC6832,0.55,0,0
ABC6833,0.34,0,0
ABC6834,0.26,0,0
ABC6835,0.53,0,0
ABC6836,0.26,0,0
ABC6837,0.71,0,0
ABC6838,0.72,0,0
ABC6839,0.31,0,0
ABC6840,0.21,0,0
ABC6841,0.49,0,0
ABC6842,0.2,0,0
ABC6843,0.74,0,0
ABC6844,0.68,0,0
ABC6845,0.44,0,0
ABC6846,0.25,0,0
ABC6847,0.77,0,0
ABC6848,0.61,0,0
ABC6849,0.78,0,0
ABC6850,0.5,0,0
ABC6851,0.58,0,0
ABC6852,0.44,0,0
ABC6853,0.49,0,0
ABC6854,0.46,0,0
ABC6855,0.48,0,0
ABC6856,0.33,0,0
ABC6857,0.74,0,0
ABC6858,0.24,0,0
ABC6859,0.68,0,0
ABC6860,0.78,0,0
ABC6861,0.59,0,0
ABC6862,0.24,0,0
ABC6863,0.44,0,0
ABC6864,0.44,0,0
ABC6865,0.64,0,0
ABC6866,0.26,0,0
ABC6867,0.5,0,0
ABC6868,0.23,0,0
ABC6869,0.3,0,0
ABC6870,0.47,0,0
ABC6871,0.44,0,0
ABC6872,0.34,0,0
ABC6873,0.79,0,0
ABC6874,0.56,0,0
ABC6875,0.72,0,0
ABC6876,0.72,0,0
ABC6877,0.53,0,0
ABC6878,0.63,0,0
ABC6879,0.76,0,0
ABC6880,0.66,0,0
ABC6881,0.36,0,0
ABC6882,0.78,0,0
ABC6883,0.69,0,0
ABC6884,0.24,0,0
ABC6885,0.38,0,0
ABC6886,0.8,0,0
ABC6887,0.39,0,0
ABC6888,0.33,0,0
ABC6889,0.42,0,0
ABC6890,0.35,0,0
ABC6891,0.32,0,0
ABC6892,0.37,0,0
ABC6893,0.21,0,0
ABC6894,0.74,0,0
ABC6895,0.41,0,0
ABC6896,0.71,0,0
ABC6897,0.49,0,0
ABC6898,0.32,0,0
ABC6899,0.57,0,0
ABC6900,0.39,0,0
ABC6901,0.2,0,0
ABC6902,0.68,0,0
ABC6903,0.75,0,0
ABC6904,0.42,0,0
ABC6905,0.57,0,0
ABC6906,0.54,0,0
ABC6907,0.67,0,0
ABC6908,0.57,0,0
ABC6909,0.58,0,0
ABC6910,0.29,0,0
ABC6911,0.6,0,0
ABC6912,0.46,0,0
ABC6913,0.75,0,0
ABC6914,0.51,0,0
ABC6915,0.37,0,0
ABC6916,0.41,0,0
ABC6917,0.24,0,0
ABC6918,0.79,0,0
ABC6919,0.6,0,0
ABC6920,0.62,0,0
ABC6921,0.41,0,0
ABC6922,0.49,0,0
ABC6923,0.39,0,0
ABC6924,0.31,0,0
ABC6925,0.32,0,0
ABC6926,0.79,0,0
ABC6927,0.5,0,0
ABC6928,0.75,0,0
ABC6929,0.32,0,0
ABC6930,0.49,0,0
ABC6931,0.3,0,0
ABC6932,0.42,0,0
ABC6933,0.59,0,0
ABC6934,0.61,0,0
ABC6935,0.24,0,0
ABC6936,0.63,0,0
ABC6937,0.75,0,0
ABC6938,0.74,0,0
ABC6939,0.24,0,0
ABC6940,0.26,0,0
ABC6941,0.29,0,0
ABC6942,0.79,0,0
ABC6943,0.22,0,0
ABC6944,0.36,0,0
ABC6945,0.34,0,0
ABC6946,0.66,0,0
ABC6947,0.53,0,0
ABC6948,0.46,0,0
ABC6949,0.41,0,0
ABC6950,0.41,0,0
ABC6951,0.5,0,0
ABC6952,0.71,0,0
ABC6953,0.3,0,0
ABC6954,0.63,0,0
ABC6955,0.41,0,0
ABC6956,0.23,0,0
ABC6957,0.24,0,0
ABC6958,0.55,0,0
ABC6959,0.37,0,0
ABC6960,0.23,0,0
ABC6961,0.57,0,0
ABC6962,0.76,0,0
ABC6963,0.63,0,0
ABC6964,0.57,0,0
ABC6965,0.39,0,0
ABC6966,0.63,0,0
ABC6967,0.68,0,0
ABC6968,0.4,0,0
ABC6969,0.54,0,0
ABC6970,0.76,0,0
ABC6971,0.6,0,0
ABC6972,0.46,0,0
ABC6973,0.53,0,0
ABC6974,0.37,0,0
ABC6975,0.24,0,0
ABC6976,0.76,0,0
ABC6977,0.76,0,0
ABC6978,0.79,0,0
ABC6979,0.61,0,0
ABC6980,0.4,0,0
ABC6981,0.78,0,0
ABC6982,0.44,0,0
ABC6983,0.67,0,0
ABC6984,0.57,0,0
ABC6985,0.58,0,0
ABC6986,0.77,0,0
ABC6987,0.75,0,0
ABC6988,0.44,0,0
ABC6989,0.5,0,0
ABC6990,0.47,0,0
ABC6991,0.73,0,0
ABC6992,0.54,0,0
ABC6993,0.27,0,0
ABC6994,0.27,0,0
ABC6995,0.38,0,0
ABC6996,0.53,0,0
ABC6997,0.71,0,0
ABC6998,0.66,0,0
ABC6999,0.42,0,0
ABC7000,0.41,0,0
ABC7001,0.49,0,0
ABC7002,0.38,0,0
ABC7003,0.3,0,0
ABC7004,0.26,0,0
ABC7005,0.32,0,0
ABC7006,0.66,0,0
ABC7007,0.64,0,0
ABC7008,0.5,0,0
ABC7009,0.39,0,0
ABC7010,0.73,0,0
ABC7011,0.42,0,0
ABC7012,0.76,0,0
ABC7013,0.31,0,0
ABC7014,0.6,0,0
ABC7015,0.28,0,0
ABC7016,0.7,0,0
ABC7017,0.41,0,0
ABC7018,0.36,0,0
ABC7019,0.69,0,0
ABC7020,0.65,0,0
ABC7021,0.38,0,0
ABC7022,0.6,0,0
ABC7023,0.6,0,0
ABC7024,0.79,0,0
ABC7025,0.52,0,0
ABC7026,0.7,0,0
ABC7027,0.49,0,0
ABC7028,0.26,0,0
ABC7029,0.28,0,0
ABC7030,0.71,0,0
ABC7031,0.33,0,0
ABC7032,0.67,0,0
ABC7033,0.34,0,0
ABC7034,0.53,0,0
ABC7035,0.5,0,0
ABC7036,0.59,0,0
ABC7037,0.6,0,0
ABC7038,0.29,0,0
ABC7039,0.26,0,0
ABC7040,0.62,0,0
ABC7041,0.41,0,0
ABC7042,0.27,0,0
ABC7043,0.39,0,0
ABC7044,0.61,0,0
ABC7045,0.62,0,0
ABC7046,0.72,0,0
ABC7047,0.71,0,0
ABC7048,0.65,0,0
ABC7049,0.23,0,0
ABC7050,0.68,0,0
ABC7051,0.77,0,0
ABC7052,0.77,0,0
ABC7053,0.56,0,0
ABC7054,0.75,0,0
ABC7055,0.68,0,0
ABC7056,0.67,0,0
ABC7057,0.37,0,0
ABC7058,0.68,0,0
ABC7059,0.25,0,0
ABC7060,0.56,0,0
ABC7061,0.29,0,0
ABC7062,0.45,0,0
ABC7063,0.34,0,0
ABC7064,0.57,0,0
ABC7065,0.28,0,0
ABC7066,0.42,0,0
ABC7067,0.5,0,0
ABC7068,0.32,0,0
ABC7069,0.31,0,0
ABC7070,0.37,0,0
ABC7071,0.78,0,0
ABC7072,0.75,0,0
ABC7073,0.64,0,0
ABC7074,0.61,0,0
ABC7075,0.35,0,0
ABC7076,0.23,0,0
ABC7077,0.61,0,0
ABC7078,0.74,0,0
ABC7079,0.45,0,0
ABC7080,0.49,0,0
ABC7081,0.69,0,0
ABC7082,0.29,0,0
ABC7083,0.67,0,0
ABC7084,0.43,0,0
ABC7085,0.79,0,0
ABC7086,0.41,0,0
ABC7087,0.75,0,0
ABC7088,0.59,0,0
ABC7089,0.78,0,0
ABC7090,0.68,0,0
ABC7091,0.65,0,0
ABC7092,0.36,0,0
ABC7093,0.7,0,0
ABC7094,0.54,0,0
ABC7095,0.79,0,0
ABC7096,0.32,0,0
ABC7097,0.71,0,0
ABC7098,0.33,0,0
ABC7099,0.57,0,0
ABC7100,0.75,0,0
ABC7101,0.43,0,0
ABC7102,0.29,0,0
ABC7103,0.64,0,0
ABC7104,0.52,0,0
ABC7105,0.57,0,0
ABC7106,0.41,0,0
ABC7107,0.77,0,0
ABC7108,0.33,0,0
ABC7109,0.48,0,0
ABC7110,0.67,0,0
ABC7111,0.48,0,0
ABC7112,0.57,0,0
ABC7113,0.42,0,0
ABC7114,0.7,0,0
ABC7115,0.58,0,0
ABC7116,0.64,0,0
ABC7117,0.35,0,0
ABC7118,0.46,0,0
ABC7119,0.56,0,0
ABC7120,0.57,0,0
ABC7121,0.63,0,0
ABC7122,0.59,0,0
ABC7123,0.68,0,0
ABC7124,0.7,0,0
ABC7125,0.78,0,0
ABC7126,0.64,0,0
ABC7127,0.28,0,0
ABC7128,0.65,0,0
ABC7129,0.52,0,0
ABC7130,0.66,0,0
ABC7131,0.54,0,0
ABC7132,0.29,0,0
ABC7133,0.23,0,0
ABC7134,0.24,0,0
ABC7135,0.69,0,0
ABC7136,0.56,0,0
ABC7137,0.62,0,0
ABC7138,0.27,0,0
ABC7139,0.58,0,0
ABC7140,0.29,0,0
ABC7141,0.38,0,0
ABC7142,0.26,0,0
ABC7143,0.39,0,0
ABC7144,0.47,0,0
ABC7145,0.38,0,0
ABC7146,0.62,0,0
ABC7147,0.77,0,0
ABC7148,0.65,0,0
ABC7149,0.34,0,0
ABC7150,0.71,0,0
ABC7151,0.27,0,0
ABC7152,0.2,0,0
ABC7153,0.76,0,0
ABC7154,0.25,0,0
ABC7155,0.51,0,0
ABC7156,0.46,0,0
ABC7157,0.55,0,0
ABC7158,0.31,0,0
ABC7159,0.52,0,0
ABC7160,0.39,0,0
ABC7161,0.23,0,0
ABC7162,0.64,0,0
ABC7163,0.62,0,0
ABC7164,0.3,0,0
ABC7165,0.21,0,0
ABC7166,0.57,0,0
ABC7167,0.6,0,0
ABC7168,0.42,0,0
ABC7169,0.5,0,0
ABC7170,0.79,0,0
ABC7171,0.79,0,0
ABC7172,0.48,0,0
ABC7173,0.55,0,0
ABC7174,0.54,0,0
ABC7175,0.43,0,0
ABC7176,0.4,0,0
ABC7177,0.46,0,0
ABC7178,0.7,0,0
ABC7179,0.5,0,0
ABC7180,0.61,0,0
ABC7181,0.73,0,0
ABC7182,0.55,0,0
ABC7183,0.32,0,0
ABC7184,0.5,0,0
ABC7185,0.62,0,0
ABC7186,0.66,0,0
ABC7187,0.4,0,0
ABC7188,0.23,0,0
ABC7189,0.37,0,0
ABC7190,0.54,0,0
ABC7191,0.21,0,0
ABC7192,0.42,0,0
ABC7193,0.75,0,0
ABC7194,0.47,0,0
ABC7195,0.38,0,0
ABC7196,0.35,0,0
ABC7197,0.8,0,0
ABC7198,0.77,0,0
ABC7199,0.37,0,0
ABC7200,0.46,0,0
ABC7201,0.54,0,0
ABC7202,0.64,0,0
ABC7203,0.23,0,0
ABC7204,0.73,0,0
ABC7205,0.66,0,0
ABC7206,0.33,0,0
ABC7207,0.5,0,0
ABC7208,0.26,0,0
ABC7209,0.56,0,0
ABC7210,0.77,0,0
ABC7211,0.21,0,0
ABC7212,0.67,0,0
ABC7213,0.33,0,0
ABC7214,0.55,0,0
ABC7215,0.54,0,0
ABC7216,0.79,0,0
ABC7217,0.36,0,0
ABC7218,0.75,0,0
ABC7219,0.44,0,0
ABC7220,0.37,0,0
ABC7221,0.67,0,0
ABC7222,0.63,0,0
ABC7223,0.57,0,0
ABC7224,0.61,0,0
ABC7225,0.73,0,0
ABC7226,0.7,0,0
ABC7227,0.66,0,0
ABC7228,0.28,0,0
ABC7229,0.27,0,0
ABC7230,0.57,0,0
ABC7231,0.78,0,0
ABC7232,0.57,0,0
ABC7233,0.25,0,0
ABC7234,0.6,0,0
ABC7235,0.35,0,0
ABC7236,0.44,0,0
ABC7237,0.36,0,0
ABC7238,0.32,0,0
ABC7239,0.52,0,0
ABC7240,0.59,0,0
ABC7241,0.56,0,0
ABC7242,0.55,0,0
ABC7243,0.65,0,0
ABC7244,0.41,0,0
ABC7245,0.41,0,0
ABC7246,0.44,0,0
ABC7247,0.67,0,0
ABC7248,0.43,0,0
ABC7249,0.49,0,0
ABC7250,0.29,0,0
ABC7251,0.35,0,0
ABC7252,0.3,0,0
ABC7253,0.49,0,0
ABC7254,0.42,0,0
ABC7255,0.78,0,0
ABC7256,0.77,0,0
ABC7257,0.5,0,0
ABC7258,0.45,0,0
ABC7259,0.46,0,0
ABC7260,0.24,0,0
ABC7261,0.22,0,0
ABC7262,0.65,0,0
ABC7263,0.53,0,0
ABC7264,0.43,0,0
ABC7265,0.67,0,0
ABC7266,0.76,0,0
ABC7267,0.44,0,0
ABC7268,0.64,0,0
ABC7269,0.54,0,0
ABC7270,0.52,0,0
ABC7271,0.69,0,0
ABC7272,0.65,0,0
ABC7273,0.68,0,0
ABC7274,0.48,0,0
ABC7275,0.27,0,0
ABC7276,0.58,0,0
ABC7277,0.31,0,0
ABC7278,0.57,0,0
ABC7279,0.39,0,0
ABC7280,0.33,0,0
ABC7281,0.58,0,0
ABC7282,0.38,0,0
ABC7283,0.21,0,0
ABC7284,0.37,0,0
ABC7285,0.45,0,0
ABC7286,0.74,0,0
ABC7287,0.74,0,0
ABC7288,0.38,0,0
ABC7289,0.51,0,0
ABC7290,0.39,0,0
ABC7291,0.7,0,0
ABC7292,0.38,0,0
ABC7293,0.6,0,0
ABC7294,0.62,0,0
ABC7295,0.51,0,0
ABC7296,0.48,0,0
ABC7297,0.2,0,0
ABC7298,0.64,0,0
ABC7299,0.78,0,0
ABC7300,0.31,0,0
ABC7301,0.67,0,0
ABC7302,0.77,0,0
ABC7303,0.74,0,0
ABC7304,0.48,0,0
ABC7305,0.72,0,0
ABC7306,0.69,0,0
ABC7307,0.64,0,0
ABC7308,0.41,0,0
ABC7309,0.27,0,0
ABC7310,0.65,0,0
ABC7311,0.57,0,0
ABC7312,0.32,0,0
ABC7313,0.59,0,0
ABC7314,0.72,0,0
ABC7315,0.34,0,0
ABC7316,0.37,0,0
ABC7317,0.39,0,0
ABC7318,0.36,0,0
ABC7319,0.27,0,0
ABC7320,0.27,0,0
ABC7321,0.33,0,0
ABC7322,0.46,0,0
ABC7323,0.5,0,0
ABC7324,0.65,0,0
ABC7325,0.57,0,0
ABC7326,0.56,0,0
ABC7327,0.39,0,0
ABC7328,0.71,0,0
ABC7329,0.47,0,0
ABC7330,0.68,0,0
ABC7331,0.71,0,0
ABC7332,0.46,0,0
ABC7333,0.23,0,0
ABC7334,0.53,0,0
ABC7335,0.78,0,0
ABC7336,0.38,0,0
ABC7337,0.53,0,0
ABC7338,0.66,0,0
ABC7339,0.33,0,0
ABC7340,0.62,0,0
ABC7341,0.21,0,0
ABC7342,0.7,0,0
ABC7343,0.41,0,0
ABC7344,0.43,0,0
ABC7345,0.23,0,0
ABC7346,0.44,0,0
ABC7347,0.79,0,0
ABC7348,0.62,0,0
ABC7349,0.52,0,0
ABC7350,0.79,0,0
ABC7351,0.69,0,0
ABC7352,0.46,0,0
ABC7353,0.75,0,0
ABC7354,0.45,0,0
ABC7355,0.44,0,0
ABC7356,0.78,0,0
ABC7357,0.27,0,0
ABC7358,0.57,0,0
ABC7359,0.29,0,0
ABC7360,0.61,0,0
ABC7361,0.32,0,0
ABC7362,0.75,0,0
ABC7363,0.63,0,0
ABC7364,0.43,0,0
ABC7365,0.5,0,0
ABC7366,0.49,0,0
ABC7367,0.38,0,0
ABC7368,0.62,0,0
ABC7369,0.44,0,0
ABC7370,0.73,0,0
ABC7371,0.8,0,0
ABC7372,0.7,0,0
ABC7373,0.53,0,0
ABC7374,0.38,0,0
ABC7375,0.33,0,0
ABC7376,0.33,0,0
ABC7377,0.77,0,0
ABC7378,0.43,0,0
ABC7379,0.25,0,0
ABC7380,0.2,0,0
ABC7381,0.28,0,0
ABC7382,0.72,0,0
ABC7383,0.4,0,0
ABC7384,0.46,0,0
ABC7385,0.37,0,0
ABC7386,0.66,0,0
ABC7387,0.38,0,0
ABC7388,0.75,0,0
ABC7389,0.62,0,0
ABC7390,0.42,0,0
ABC7391,0.28,0,0
ABC7392,0.37,0,0
ABC7393,0.58,0,0
ABC7394,0.7,0,0
ABC7395,0.79,0,0
ABC7396,0.39,0,0
ABC7397,0.21,0,0
ABC7398,0.51,0,0
ABC7399,0.37,0,0
ABC7400,0.71,0,0
ABC7401,0.74,0,0
ABC7402,0.75,0,0
ABC7403,0.64,0,0
ABC7404,0.72,0,0
ABC7405,0.42,0,0
ABC7406,0.71,0,0
ABC7407,0.34,0,0
ABC7408,0.33,0,0
ABC7409,0.69,0,0
ABC7410,0.23,0,0
ABC7411,0.53,0,0
ABC7412,0.7,0,0
ABC7413,0.56,0,0
ABC7414,0.48,0,0
ABC7415,0.47,0,0
ABC7416,0.29,0,0
ABC7417,0.77,0,0
ABC7418,0.22,0,0
ABC7419,0.43,0,0
ABC7420,0.71,0,0
ABC7421,0.68,0,0
ABC7422,0.42,0,0
ABC7423,0.35,0,0
ABC7424,0.6,0,0
ABC7425,0.62,0,0
ABC7426,0.31,0,0
ABC7427,0.55,0,0
ABC7428,0.42,0,0
ABC7429,0.31,0,0
ABC7430,0.65,0,0
ABC7431,0.26,0,0
ABC7432,0.46,0,0
ABC7433,0.59,0,0
ABC7434,0.6,0,0
ABC7435,0.7,0,0
ABC7436,0.78,0,0
ABC7437,0.21,0,0
ABC7438,0.72,0,0
ABC7439,0.45,0,0
ABC7440,0.28,0,0
ABC7441,0.75,0,0
ABC7442,0.45,0,0
ABC7443,0.31,0,0
ABC7444,0.59,0,0
ABC7445,0.74,0,0
ABC7446,0.26,0,0
ABC7447,0.51,0,0
ABC7448,0.32,0,0
ABC7449,0.2,0,0
ABC7450,0.52,0,0
ABC7451,0.56,0,0
ABC7452,0.36,0,0
ABC7453,0.66,0,0
ABC7454,0.75,0,0
ABC7455,0.65,0,0
ABC7456,0.55,0,0
ABC7457,0.46,0,0
ABC7458,0.46,0,0
ABC7459,0.72,0,0
ABC7460,0.56,0,0
ABC7461,0.45,0,0
ABC7462,0.3,0,0
ABC7463,0.38,0,0
ABC7464,0.43,0,0
ABC7465,0.76,0,0
ABC7466,0.35,0,0
ABC7467,0.65,0,0
ABC7468,0.53,0,0
ABC7469,0.58,0,0
ABC7470,0.31,0,0
ABC7471,0.41,0,0
ABC7472,0.23,0,0
ABC7473,0.71,0,0
ABC7474,0.78,0,0
ABC7475,0.36,0,0
ABC7476,0.4,0,0
ABC7477,0.45,0,0
ABC7478,0.35,0,0
ABC7479,0.23,0,0
ABC7480,0.38,0,0
ABC7481,0.31,0,0
ABC7482,0.64,0,0
ABC7483,0.38,0,0
ABC7484,0.51,0,0
ABC7485,0.25,0,0
ABC7486,0.57,0,0
ABC7487,0.36,0,0
ABC7488,0.65,0,0
ABC7489,0.34,0,0
ABC7490,0.59,0,0
ABC7491,0.51,0,0
ABC7492,0.29,0,0
ABC7493,0.57,0,0
ABC7494,0.45,0,0
ABC7495,0.63,0,0
ABC7496,0.55,0,0
ABC7497,0.58,0,0
ABC7498,0.41,0,0
ABC7499,0.78,0,0
ABC7500,0.39,0,0
ABC7501,0.27,0,0
ABC7502,0.49,0,0
ABC7503,0.34,0,0
ABC7504,0.61,0,0
ABC7505,0.4,0,0
ABC7506,0.2,0,0
ABC7507,0.25,0,0
ABC7508,0.5,0,0
ABC7509,0.77,0,0
ABC7510,0.54,0,0
ABC7511,0.58,0,0
ABC7512,0.24,0,0
ABC7513,0.21,0,0
ABC7514,0.37,0,0
ABC7515,0.44,0,0
ABC7516,0.35,0,0
ABC7517,0.74,0,0
ABC7518,0.63,0,0
ABC7519,0.43,0,0
ABC7520,0.53,0,0
ABC7521,0.74,0,0
ABC7522,0.46,0,0
ABC7523,0.22,0,0
ABC7524,0.52,0,0
ABC7525,0.6,0,0
ABC7526,0.79,0,0
ABC7527,0.24,0,0
ABC7528,0.44,0,0
ABC7529,0.29,0,0
ABC7530,0.78,0,0
ABC7531,0.57,0,0
ABC7532,0.44,0,0
ABC7533,0.77,0,0
ABC7534,0.57,0,0
ABC7535,0.48,0,0
ABC7536,0.26,0,0
ABC7537,0.3,0,0
ABC7538,0.41,0,0
ABC7539,0.34,0,0
ABC7540,0.56,0,0
ABC7541,0.66,0,0
ABC7542,0.6,0,0
ABC7543,0.22,0,0
ABC7544,0.43,0,0
ABC7545,0.28,0,0
ABC7546,0.62,0,0
ABC7547,0.42,0,0
ABC7548,0.65,0,0
ABC7549,0.76,0,0
ABC7550,0.78,0,0
ABC7551,0.38,0,0
ABC7552,0.57,0,0
ABC7553,0.76,0,0
ABC7554,0.49,0,0
ABC7555,0.45,0,0
ABC7556,0.8,0,0
ABC7557,0.54,0,0
ABC7558,0.42,0,0
ABC7559,0.38,0,0
ABC7560,0.54,0,0
ABC7561,0.75,0,0
ABC7562,0.28,0,0
ABC7563,0.61,0,0
ABC7564,0.71,0,0
ABC7565,0.71,0,0
ABC7566,0.72,0,0
ABC7567,0.38,0,0
ABC7568,0.29,0,0
ABC7569,0.56,0,0
ABC7570,0.51,0,0
ABC7571,0.38,0,0
ABC7572,0.41,0,0
ABC7573,0.34,0,0
ABC7574,0.47,0,0
ABC7575,0.53,0,0
ABC7576,0.78,0,0
ABC7577,0.76,0,0
ABC7578,0.7,0,0
ABC7579,0.4,0,0
ABC7580,0.3,0,0
ABC7581,0.26,0,0
ABC7582,0.8,0,0
ABC7583,0.57,0,0
ABC7584,0.57,0,0
ABC7585,0.44,0,0
ABC7586,0.35,0,0
ABC7587,0.22,0,0
ABC7588,0.34,0,0
ABC7589,0.47,0,0
ABC7590,0.73,0,0
ABC7591,0.68,0,0
ABC7592,0.64,0,0
ABC7593,0.33,0,0
ABC7594,0.54,0,0
ABC7595,0.47,0,0
ABC7596,0.28,0,0
ABC7597,0.46,0,0
ABC7598,0.67,0,0
ABC7599,0.36,0,0
ABC7600,0.55,0,0
ABC7601,0.43,0,0
ABC7602,0.68,0,0
ABC7603,0.72,0,0
ABC7604,0.21,0,0
ABC7605,0.21,0,0
ABC7606,0.69,0,0
ABC7607,0.51,0,0
ABC7608,0.26,0,0
ABC7609,0.25,0,0
ABC7610,0.48,0,0
ABC7611,0.44,0,0
ABC7612,0.38,0,0
ABC7613,0.49,0,0
ABC7614,0.59,0,0
ABC7615,0.63,0,0
ABC7616,0.26,0,0
ABC7617,0.61,0,0
ABC7618,0.34,0,0
ABC7619,0.26,0,0
ABC7620,0.26,0,0
ABC7621,0.5,0,0
ABC7622,0.73,0,0
ABC7623,0.59,0,0
ABC7624,0.53,0,0
ABC7625,0.53,0,0
ABC7626,0.69,0,0
ABC7627,0.64,0,0
ABC7628,0.61,0,0
ABC7629,0.26,0,0
ABC7630,0.21,0,0
ABC7631,0.52,0,0
ABC7632,0.5,0,0
ABC7633,0.27,0,0
ABC7634,0.74,0,0
ABC7635,0.28,0,0
ABC7636,0.36,0,0
ABC7637,0.49,0,0
ABC7638,0.61,0,0
ABC7639,0.5,0,0
ABC7640,0.29,0,0
ABC7641,0.36,0,0
ABC7642,0.36,0,0
ABC7643,0.8,0,0
ABC7644,0.45,0,0
ABC7645,0.76,0,0
ABC7646,0.53,0,0
ABC7647,0.34,0,0
ABC7648,0.78,0,0
ABC7649,0.49,0,0
ABC7650,0.61,0,0
ABC7651,0.52,0,0
ABC7652,0.36,0,0
ABC7653,0.42,0,0
ABC7654,0.22,0,0
ABC7655,0.42,0,0
ABC7656,0.36,0,0
ABC7657,0.62,0,0
ABC7658,0.78,0,0
ABC7659,0.44,0,0
ABC7660,0.53,0,0
ABC7661,0.52,0,0
ABC7662,0.26,0,0
ABC7663,0.71,0,0
ABC7664,0.72,0,0
ABC7665,0.28,0,0
ABC7666,0.35,0,0
ABC7667,0.6,0,0
ABC7668,0.54,0,0
ABC7669,0.8,0,0
ABC7670,0.66,0,0
ABC7671,0.61,0,0
ABC7672,0.36,0,0
ABC7673,0.74,0,0
ABC7674,0.76,0,0
ABC7675,0.44,0,0
ABC7676,0.43,0,0
ABC7677,0.31,0,0
ABC7678,0.69,0,0
ABC7679,0.49,0,0
ABC7680,0.57,0,0
ABC7681,0.6,0,0
ABC7682,0.55,0,0
ABC7683,0.65,0,0
ABC7684,0.43,0,0
ABC7685,0.33,0,0
ABC7686,0.32,0,0
ABC7687,0.52,0,0
ABC7688,0.51,0,0
ABC7689,0.64,0,0
ABC7690,0.4,0,0
ABC7691,0.73,0,0
ABC7692,0.23,0,0
ABC7693,0.63,0,0
ABC7694,0.26,0,0
ABC7695,0.77,0,0
ABC7696,0.66,0,0
ABC7697,0.33,0,0
ABC7698,0.62,0,0
ABC7699,0.67,0,0
ABC7700,0.75,0,0
ABC7701,0.71,0,0
ABC7702,0.35,0,0
ABC7703,0.64,0,0
ABC7704,0.3,0,0
ABC7705,0.66,0,0
ABC7706,0.27,0,0
ABC7707,0.58,0,0
ABC7708,0.39,0,0
ABC7709,0.61,0,0
ABC7710,0.55,0,0
ABC7711,0.23,0,0
ABC7712,0.57,0,0
ABC7713,0.3,0,0
ABC7714,0.54,0,0
ABC7715,0.42,0,0
ABC7716,0.21,0,0
ABC7717,0.49,0,0
ABC7718,0.6,0,0
ABC7719,0.24,0,0
ABC7720,0.37,0,0
ABC7721,0.27,0,0
ABC7722,0.71,0,0
ABC7723,0.68,0,0
ABC7724,0.62,0,0
ABC7725,0.68,0,0
ABC7726,0.26,0,0
ABC7727,0.8,0,0
ABC7728,0.48,0,0
ABC7729,0.2,0,0
ABC7730,0.71,0,0
ABC7731,0.64,0,0
ABC7732,0.25,0,0
ABC7733,0.35,0,0
ABC7734,0.68,0,0
ABC7735,0.38,0,0
ABC7736,0.55,0,0
ABC7737,0.49,0,0
ABC7738,0.61,0,0
ABC7739,0.79,0,0
ABC7740,0.71,0,0
ABC7741,0.7,0,0
ABC7742,0.65,0,0
ABC7743,0.74,0,0
ABC7744,0.8,0,0
ABC7745,0.57,0,0
ABC7746,0.64,0,0
ABC7747,0.69,0,0
ABC7748,0.28,0,0
ABC7749,0.4,0,0
ABC7750,0.3,0,0
ABC7751,0.63,0,0
ABC7752,0.63,0,0
ABC7753,0.76,0,0
ABC7754,0.43,0,0
ABC7755,0.76,0,0
ABC7756,0.28,0,0
ABC7757,0.22,0,0
ABC7758,0.4,0,0
ABC7759,0.27,0,0
ABC7760,0.79,0,0
ABC7761,0.76,0,0
ABC7762,0.61,0,0
ABC7763,0.44,0,0
ABC7764,0.41,0,0
ABC7765,0.24,0,0
ABC7766,0.26,0,0
ABC7767,0.58,0,0
ABC7768,0.7,0,0
ABC7769,0.61,0,0
ABC7770,0.76,0,0
ABC7771,0.72,0,0
ABC7772,0.41,0,0
ABC7773,0.23,0,0
ABC7774,0.75,0,0
ABC7775,0.79,0,0
ABC7776,0.64,0,0
ABC7777,0.28,0,0
ABC7778,0.54,0,0
ABC7779,0.67,0,0
ABC7780,0.61,0,0
ABC7781,0.35,0,0
ABC7782,0.22,0,0
ABC7783,0.78,0,0
ABC7784,0.33,0,0
ABC7785,0.27,0,0
ABC7786,0.49,0,0
ABC7787,0.76,0,0
ABC7788,0.57,0,0
ABC7789,0.23,0,0
ABC7790,0.22,0,0
ABC7791,0.68,0,0
ABC7792,0.37,0,0
ABC7793,0.74,0,0
ABC7794,0.28,0,0
ABC7795,0.77,0,0
ABC7796,0.54,0,0
ABC7797,0.54,0,0
ABC7798,0.66,0,0
ABC7799,0.33,0,0
ABC7800,0.77,0,0
ABC7801,0.66,0,0
ABC7802,0.36,0,0
ABC7803,0.53,0,0
ABC7804,0.41,0,0
ABC7805,0.29,0,0
ABC7806,0.74,0,0
ABC7807,0.37,0,0
ABC7808,0.54,0,0
ABC7809,0.73,0,0
ABC7810,0.58,0,0
ABC7811,0.47,0,0
ABC7812,0.32,0,0
ABC7813,0.56,0,0
ABC7814,0.55,0,0
ABC7815,0.54,0,0
ABC7816,0.52,0,0
ABC7817,0.31,0,0
ABC7818,0.27,0,0
ABC7819,0.53,0,0
ABC7820,0.4,0,0
ABC7821,0.25,0,0
ABC7822,0.79,0,0
ABC7823,0.42,0,0
ABC7824,0.72,0,0
ABC7825,0.8,0,0
ABC7826,0.58,0,0
ABC7827,0.54,0,0
ABC7828,0.49,0,0
